"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000260898",2.49795185733817,-0.652675947408181,1.05871969749075,-0.616476626396082,0.537579993789563,0.714867939061556
"ENSG00000218682",2.48988181806774,0.765621580282683,1.2424165463863,0.616235820836074,0.537738889956626,0.715027713124525
"ENSG00000105366",56.2795377824907,0.305386770437101,0.495591547168293,0.616206576125073,0.537758188760171,0.715027713124525
"ENSG00000263649",2.06207033423945,-0.780199153255707,1.26639684822932,-0.616077933506061,0.537843085116255,0.715072861473955
"ENSG00000274029",23.5572673878336,-0.270744328980692,0.439472097842314,-0.616067164013306,0.537850192636029,0.715072861473955
"ENSG00000177855",4.57924770521171,-0.512749906166466,0.832673192855387,-0.615787695059756,0.538034649669234,0.71527653207455
"ENSG00000289073",4.00224961937325,-0.514539693433568,0.83564227980464,-0.615741574916314,0.538065093257623,0.71527653207455
"ENSG00000176225",145.593560756681,0.208902441633921,0.339290865807712,0.615703111065517,0.53809048364126,0.71527653207455
"ENSG00000272604",31.4464444421467,0.187398604798035,0.304399066548113,0.61563462372975,0.538135694324734,0.715298036206014
"ENSG00000007384",2177.69436808899,-0.105331900388106,0.171108728426251,-0.615584613110514,0.538168709140184,0.715303327961087
"ENSG00000143570",22.8505532724606,-0.215946553373415,0.350840324471002,-0.615512352233227,0.538216414394552,0.71532814379018
"ENSG00000274051",2.76102574979357,0.662786138902157,1.07706878984466,0.615361010504953,0.538316334195468,0.71542235006871
"ENSG00000047315",2164.30222488278,0.124944972632074,0.203074770009251,0.615265858119065,0.538379161075278,0.715467252355124
"ENSG00000128536",67.6003871316981,0.216612206937533,0.352130284563813,0.615147905286968,0.538457047658707,0.715527989075517
"ENSG00000259867",14.5238729531309,-0.339414656801696,0.551796240131875,-0.615108679828225,0.538482950255679,0.715527989075517
"ENSG00000280159",1.84724954199949,1.07638626817776,1.75058207137906,0.614873353141232,0.538638361746224,0.715695896793318
"ENSG00000256028",3.26089932095338,0.576129608787843,0.937273641477669,0.614686664909875,0.538761668037156,0.715821130099304
"ENSG00000234997",9.81581782422845,-0.495253183079589,0.805780202865447,-0.614625652651196,0.538801969281941,0.715834226025436
"ENSG00000256092",19.8838558346906,-0.254208888601505,0.413627727942383,-0.614583770450021,0.538829635168312,0.715834226025436
"ENSG00000250432",2.35654050550638,0.658294749816048,1.07140548301544,0.614421673448313,0.538936717370156,0.715899342029252
"ENSG00000212724",1.70635447862682,-1.13273234861272,1.84357507626964,-0.614421600288028,0.538936765702664,0.715899342029252
"ENSG00000078699",1159.65449418647,0.0819988827956163,0.133467332287529,0.614374179735352,0.538968094007576,0.715902357777908
"ENSG00000271551",6.3028827141999,-0.402798471095099,0.655721848502115,-0.614282522406755,0.539028649847882,0.715905598183411
"ENSG00000280543",2.83941326843241,0.569568783263486,0.92717443655081,0.614305961003782,0.539013164193854,0.715905598183411
"ENSG00000231344",2.41109258814677,0.566430420898232,0.922245958929617,0.614185852931952,0.539092520789618,0.715913240334941
"ENSG00000221817",99.3385624743603,-0.180491795120308,0.293851791289469,-0.614227309380285,0.539065129440893,0.715913240334941
"ENSG00000228315",179.234524323362,0.246754789930896,0.401909816747257,0.613955618023804,0.539244655645823,0.716076676610043
"ENSG00000259985",15.6627390882251,-0.256526916448793,0.417860173145927,-0.613906117248478,0.53927736762756,0.716081519146287
"ENSG00000283175",39.1070436400339,0.272397207926976,0.443809125511019,0.613771083713809,0.539366607941341,0.716161418477544
"ENSG00000132693",1.68034241722547,1.03583592484209,1.68805727983323,0.613626052395821,0.539462463780349,0.716245447760462
"ENSG00000197168",9.97562688967776,0.387981889057879,0.632362604583252,0.613543378823882,0.539517109207235,0.716245447760462
"ENSG00000259138",1.76197135164476,-0.824975526885679,1.34457332468589,-0.613559343874686,0.539506556441092,0.716245447760462
"ENSG00000165525",522.102723742596,0.236758404913385,0.38593701134498,0.613463850197441,0.539569678509516,0.716276640413759
"ENSG00000187686",3.42087230250325,-0.618310115904115,1.00805689022596,-0.613368275043999,0.539632858136998,0.716283321260773
"ENSG00000288919",4.98082333893256,-0.447635011333603,0.729750120045325,-0.613408616234006,0.539606190279899,0.716283321260773
"ENSG00000135373",2513.77691372073,0.220369100733806,0.359457187372908,0.613060771838709,0.539836157203707,0.716482419194644
"ENSG00000175595",163.511514472371,0.141572347260108,0.230929870700469,0.613053421069709,0.539841017474131,0.716482419194644
"ENSG00000270108",5.62363930255946,0.383282203941672,0.625578089197714,0.612684827937661,0.540084756423875,0.716767299289754
"ENSG00000117751",1430.73022271878,-0.0834706904966748,0.136256314498878,-0.612600530138089,0.540140507621011,0.716802676340363
"ENSG00000289294",86.7192529735839,-0.199079427942695,0.325078931927554,-0.612403353124899,0.540270923863603,0.716898516250745
"ENSG00000258957",4.24797467197641,-0.43752903876516,0.7144195726139,-0.612425884644145,0.540256020335074,0.716898516250745
"ENSG00000106344",769.556640697214,0.167888782878792,0.27419270640437,0.61230214720298,0.540337869304581,0.716948733630814
"ENSG00000289214",4.06204575962645,-0.537758982687714,0.878550710803528,-0.612097828929961,0.540473033888156,0.717089457477651
"ENSG00000204560",968.951673258834,0.0976298050059993,0.159532802790137,0.611973232454456,0.540555467661285,0.717160207688265
"ENSG00000234545",120.260762119868,-0.206983692225343,0.338376570305976,-0.611696288659048,0.540738717844244,0.717287449067391
"ENSG00000198133",188.570960084768,-0.155205023503018,0.253706705510661,-0.611749788759509,0.540703315089281,0.717287449067391
"ENSG00000207425",13.8112752086183,0.473561255946464,0.774159157576113,0.61171046200523,0.540729338767698,0.717287449067391
"ENSG00000166444",2028.92368379145,0.12902616955903,0.210952158836527,0.611637113697501,0.540777877188653,0.717300773139703
"ENSG00000066855",406.912441820798,-0.114883440654256,0.187893227742291,-0.611429384840984,0.540915354080491,0.717405877394544
"ENSG00000127452",530.290723829797,0.0909719672654134,0.148784995522315,0.611432402481533,0.54091335685287,0.717405877394544
"ENSG00000213539",26.6237273082078,-0.324688891077997,0.531096511317552,-0.611355721905429,0.540964109091547,0.717431918807581
"ENSG00000224680",2.29264599876534,-0.700306299389294,1.14608619702067,-0.611041561454792,0.541172065940177,0.71763045312278
"ENSG00000203392",167.437825590379,0.228483279522684,0.373898838089754,0.611083149362014,0.541144534751949,0.71763045312278
"ENSG00000204344",562.746825878609,-0.0975424577261773,0.15966663519279,-0.610913216830802,0.541257034472739,0.717700065972687
"ENSG00000290885",3.28482842134994,-0.638263847152984,1.04483669447093,-0.610874264399931,0.541282823632686,0.717700065972687
"ENSG00000197858",2800.8224822953,-0.215430066827377,0.352690519478076,-0.610818989821949,0.541319420217984,0.717709964261677
"ENSG00000215875",5.40858836153923,-0.516042552184683,0.845329615643456,-0.610463117149725,0.541555068508859,0.71798376057971
"ENSG00000238058",13.3462912552811,0.276072236926931,0.452363206228709,0.61028888540363,0.541670458255815,0.718098099442989
